NOME;DATE;PROVENIENZA;ATTIVITA';ANNI DI CONTATTO CON TARTINI;CONTATTI CON TERZI;TESTIMONIANZA DI TARTINI;TESTIMONIANZA DELL'ALLIEVO SU TARTINI;TESTIMONIANZE DI TERZI;ANCHE COMPOSITORE;EPISTOLARIO TARTINI;EITNER;RIEMANN;MGG;NGD;GMO;FETIS;DIC;DUM;DEUMM;DBI;FONTI;NOTE;SONATE A 3;SONATE A 4;ALTRE COMPOSIZIONI;SCRITTI;RISM;MGG2
NARDINI, Pietro;1722-1793;Livorno (Italy);"Vienna; Stuttgart; Dresda; Brunswick; Firenze";1734-1740;Maestro di J. Agus, G. Brunetti, B. Campagnoli, G. Fr. Giuliani, Giulio Maria Lucchesi, Filippo Manfredi, Francesco Felice Sozzi, Václav Pichel, Thomas Linley (ii), Pichl, F.W. Rust, Giuseppe Cambini. Si esibì con il flautista Niccolò Dôthel;"T. a Martini: ""mi prendo la confidenza di addirizzare a vostra riverenza questi due involti franchi da qualunque spesa, acciò vostra riverenza li dirigga in Firenze a chi è chiamato dal bollettino sovraposto e li diriga per qualche occasione sicura, e particolare. Io non ho potuto in modo alcuno risparmiarle questo incomodo, perché si è trattato di servire il mio carissimo scolare signor Nardini di Livorno, che da Vienna se ne ritorna in patria, ma il di lui viaggio è diretto da Padova per Milano, e gli preme che questi due involti arrivino innanzi di lui a Firenze in mano del signor dottor Bertini. Mi dispiace che non sia passato di costà per farglielo conoscere e sentire. È un portento, e ringrazio Dio di aver sentito tanto innanzi morte."" / T. a Martini: ""Intanto la ringrazio quanto mai se e posso per l’incomodo benignamente sofferto di ricever quanto le ho addirizzato del signor Nardini, e di doverlo rimettere in Firenze al signor dottor Bertini."" / T. a Martini: ""Giunto qui felicemente il mio carissimo signor Nardini, m’impone di rassegnarle i suoi cordialissimi, e ossequiosissimi rispetti, come facciamo il signor don Antonio, ed io, che con sempre maggior debito, e ossequio mi rassegno"";";;"""Nardini, his first and favourite student"" (BURNEY); soon became his favourite student (according to Leoni and Burney); ‘The beauty, purity and evenness of his tone and his cantabile cannot be surpassed’, Leopold Mozart; / secondo Burney, che lo ascoltò nel settembre 1770 a Firenze: «[...] il signor Nardini suonò un a solo e un concerto, da lui composti, in modo perfetto; il suo suono è dolce e uniforme, non molto forte ma chiaro e preciso, molto espressivo nei movimenti lenti e simile in questo al suo grande maestro Tartini. Quanto all’esecuzione, tende ad appagare e piacere piuttosto che a sorprendere: insomma, penso che sia il violinista più perfetto che esista in Italia e [...] trovo il suo stile delicato, misurato e assai raffinato. Chiunque abbia ascoltato la celebre signora Sirmen nelle sue eleganti esecuzioni può formarsi un'idea abbastanza esatta del modo di suonare del signor Nardini». ""Tutta la sua musica è legata all'arte dell'arco che egli possiede al supremo grado di perfezione; e colla magia di quest'arco egli cava de'soni che non possono disegnarsi, be' definirsi. Ecco il perché le sue sonate più non producono il medesimo effetto, se non sono eseguite secondo il gusto della sua scuola. Da ciò proviene ancora che quantunque si sonoi la musica di tutti gli autori, non si riesca inquella del Nardini e del Tartini suo maestro"", Giovanni Battista Rangoni, Saggio sul gusto della musica, Livorno, Masi, 1790, pp. 39-41. ""Il Lolli è un grande esecutore; ma [...] il sono che egli cava dal suo strumento, benché il più lusinghiero, non è però né così dolce, né così sonoro come quello che cava il Nardini, e che è di una forza così subita e viva, che ha in sé una sorgente sempre nuova di dolcezza"", Giovanni Battista Rangoni, Saggio sul gusto della musica, Livorno, Masi, 1790, pp. 51-53. ""Pagin e Nardini, considerati i due migliori allievi dell'istriano"", Capri, p. 361. ""Son élève favori"", FETIS, 1870";X;p. 296, 297, 325;EIT;RIE;MGG;;GMO;;DIC;DUM;DEU;DBI;"DOUNIAS, 1935; ";His one absence from Florence was during Tartini's final illness, when, according to Burney, he cared for the dying maestro with true filial affection and tenderness.;"6 Sonatas for 2 German Flutes or 2 V. and a Bass, L. um 1770
Son. für 2 V. und B.c., F-Pc, I-Pca
5 Son. für Fl., V. und B.c., I-Gl
Son. für Cemb., V. und Vc., I-Fc
Trios für 2 Fl. und B.c., I-Gl, I-Mc";;"6 Concerti a 5 stromenti con V. principale a solo, V. primo e secondo di concerto, alto Va., organo e Vc., 2 corni da caccia ad lib. op.?1, Adm. [1765]
Konz. für V. und Orch., A-Wgm, GB-Lam, I-BGc, I-Fc, I-Gl, I-MOe, I-UDc, S-L, S-Uu, US-BEm
2 Konz. für Fl. und StrOrch., I-Gl
Konz. für Va. und Orch., I-Gl
2 Ouv., beide D-Dur, CH-Bu

14 New Italian Minuets for 2 V. & a Bass, L. [1750?]
6 Solos for a V. with a Bass for the Harpsichord or Vc., ebd. um 1760
Nr.?1 und 2, in: 6 Sonatas or Duets for 2 V.?Compos’d by Sig.r Nardini and Ferrari op.?2, ebd. um 1765
6 Sonates à V. & Basse op.?2, Adm. um 1770
6 Duets for 2 Tenors [= Va.], L. um 1775
6 Quartetti per 2 V., Va. e Vc., Flz. [1782]
7 Sonates avec les Adagios brodés für V. und B.c., P. um 1800
Romanza für 2 V., in: Fr. Geminiani, L’Art de jouer du violon, P. 1803
2 Duette für 2 Fl., I-Gl
Son. für V. und B.c., A-SEI, A-Wgm, A-Wn, B-Bc, CZ-BER, D-B, D-Dl, F-Pc, I-Bc, I-BGi, I-Fc, I-Gl, I-Mc, I-Nc, I-PS, I-Rsc, I-Vnm, US-BEm
2 Son. für Fl. und B.c., I-Gl

2 Lessons für Cemb., Nr.?3 und 5 in: The Harpsichord Miscellany, Bd.?2, L. [1763]
2 Son. für Cemb., GB-Lbl
Sonate énigmatique pour un V. seul attribué à Nardini, in: J.?B.?Cartier, L’Art du violon, P. 31803";;;MGG
NAUMANN, Johann Gottlieb;1741-1801;Blasewitz (Germany);"Amburgo; Venezia; Stoccolma; Kopenhagen; Berlino; Dresda";1759-1761;"Studiò con padre Martini; accompagnò Anders Wesström ad Amburgo; J. Schuster; F. Seydelmann; Studiò con Homilius; ebbe rapporti con Hasse";"T. a Naumann: ""Di quanto piacere, e sodisfazione mi sia stata la di lei car[issi]ma scrittami da Bologna, non glie lo posso dire abbastanza. Il sentirla poi alla scuola di contrapunto dal P[ad]re Martini me lo ha raddoppiato, e mi rallegro con ella che sia capitata finalm[en]te in di lui mani, e sotto la di lui istruzione. La ringrazio della memoria, e dell’amore che mi conserva. E si assicuri che in ciò è da me intieram[en]te corrisposto, e che l’amore che ho per ella, durarà in me finché ho vita. Il sentimento poi così vicino mi dà speranza di doverla rivedere dentro quest’anno, e di fatto il mio stimat[issi]mo, e compit[issi]mo Sig[no]r Lodovico mi ha dato di ciò sicura speranza della di lei persona. Non so poi se sarà lo stesso anche di lei, ma lo desidero: tanto più che dopo i di lei studi fatti in Napoli, e quelli che fa, e farà costì, potressimo qui discorrerla tra noi molto meglio di quello abbiam fatto per il passato. Costì poi null’altro mi occorre se non che ella si vaglia della ultima occasione di coronar le sue fatiche, e i suoi studj; e di avvertire il signor Lodovico che oggi scrivo anche adesso, e però ricerchi la mia lettera alla posta. Di ciò l’avvertisco giacché ad ella scrivo col ricapito ch’ella mi ha suggerito, acciò la mia lettera le pervenga sicura. Intanto mi continui il suo amore, e si assicuri sempre più che io sono e sarò sempre quale di cuore mi protesto"" / T. a Naumann: ""Mio carissimo, e stimatissimo signore, ella non può immaginarsi abbastanza la consolazione da me provata nel sentire dalle altri relazioni, e dalla di lei lettera il felice incontro che costì hanno avuto e la sua persona, e le sue composizioni, appresso sua altezza reale elettrice, ed appresso cotesta corte. Abbiamo debiti ella ed io di ringraziare la divina Provvidenza per una condotta sì particolare, ordinata allo stabilimento del di lei stato, e condizione per di lei parte e per la mia a premiarmi anche in questo mondo con una mercede, la maggiore di tutte, qual è la consolazione di aver fatto un vero bene. Come di ciò io rendo a Dio grazie distinte, costì ella faccia costantemente per tutto il tempo di sua vita, ricordandoti sempre di essere distintamente grato ad una sì distinta provvidenza, e di ascoltar con cordiale attenzione le di lei voci interne, che certamente le parleranno al cuore o tardi, o per tempo. Intanto ella e con costume, e con l’assiduità dello studio corrisponda quanto mai può alla benignità, e clemenza della sua sovrana padrona, e procuri con tutte le sue forze di renderti sempre più meritevole della di lei beneficenza, cosicché nel poco tempo di vita che mi resta in vecchiaia, io senta nuove sempre migliori della di lei padrona, le quali mi saranno sempre cagione di nuova allegrezza, e contento. Con questa occasione la prego di darmi qualche notizia dello stato di salute del signor Hunt, a cui porti per me i miei cordialissimi complimenti, ed abbraccj, come faccio seco lei [...]"" / T. a Naumann (163) dove parla della Lombardini / T. a Naumann: ""Signor Giovanni mio signore e padrone amatissimo, e stimatissimo, acciò ella, ed io possiamo aver il nostro intento per ciò che appartiene all’accordo del cembalo, con la qui inclusa Si presenti all’illustrissimo signor Lodovico Terzi che alloggia in corte di Ca’ Barbaro a Santa Fosca. Il monocordo ch’ella ha veduto qui, presentemente è in di lui mani con tutta la necessaria istruzione per uso del medesimo. Comeché cotesto è un nobile signore dilettante che vuol sapere le cose per le sue ragioni, e principj, ed è mio benignissimo padrone, così nel caso presente intendo giovar ed al mio padrone, e ad ella, perché ambedue insieme potranno far la prova su’l fatto, e si dirigeranno reciprocamente, esso per le sue scientifiche cognizioni, ed ella per la maggior pratica che ha del cembalo. Fatta la prova, ella in una striscia di carta (a norma delle misure de’ Sartori) si copj la pianta del monocordo; e quando sarà a Napoli, senza imbroglio di portarselo seco lo farà fare in Napoli, giacché com’ella ha veduto, e vedrà, è cosa ben facile, e piana. Circa poi l’altro nostro affare la supplico di non aver difficoltà alcuna di comunicar la mia lettera al signor abate Terzi, a cui scrivo che venga da ella per leggerla, e per consultare tra loro due, se così va bene. Questo è un passo necessario per assicurar l’affare, giacché il signor abate deciderà se ciò basti, o no per il nostro intento. Importa bensì il segreto, che raccomando efficacemente al signor abate, a cui deve premer di osservarlo gelosamente. Io l’accompagno col cuore nel suo viaggio, ed arrivato in Napoli le do debito di scrivermi, e con mille abbracci ed una cordialissima riverenza alli signori suoi discepoli mi rassegno sempre più [...]"" / T. a Martini ""Io glielo raccomando efficacemente benché sappia che per V.R. non è questo bisogno. Ma benché di altra legge, e religione (tedesco e protestante), io lo amo cordialmente per le di lui ottime qualità, e per esso ho quella premura che avrei per un mio figlio. Ha talento, e sono persuaso che possa riuscire distintamente, e far onore particolare a V.R."", Capri, p. 383";;;X;p. 303, 305, 307, 309, 311;EIT;RIE;MGG;NGD;;;DIC;;DEU;;" Cfr. MEISSNER,1803 (2017); DOUNIAS, 1935; [PETROBELLI, 1992, p. 19; 24; 88-89]
[DALLA VECCHIA, Giuseppe Tartini, 1999, p. 206]
[CATTELAN, 2000, p. 126-136]";;"6 Son. für Cemb./Kl., V. und Bass, P. [1782]
2 Trios A, D für 2 V. und Vc., D-Dl (Autogr.)
6 Sonatinen C, G, D, F, Es, F für Ob./Fl., Fg./Bass und Cemb., D-Dl, I-Vc
3 Son. für Cemb. und 2 V., I-Pca";;"I. Lateinische Kirchenmusik, Messen, Stabile Messzyklen, Meßsätze, Offertorien, Versperzyklen, Marianische Antiphonen, Oratorien, geistliche Kantaten, weltliche Kantaten, vokale Duette, Terzette und Kanons, Lieder und Gesänge, Bühnenwerke, 1 Konzert für Cembalo und 2 V., 2 Ob., 2 Hr., Va. da gamba und Bass

Son. G-Dur (1780) für 2 V., D-Dl (Autogr.)
6 Qu. C, G, D, F, Es, F für Cemb./Kl., Fl., V. und Bass op.?1, Bln./Adm. [1780]
Duo D-Dur (1781) für 2 V., D-Dl (Autogr.)
6 Son. B, F, a, G, D, C für Cemb. und V. op.?2, Bln./Adm. [1782]
Sechs [7] Märsche nebst Trios für blasende Instrumente B, B, C, C, D, D, B, D-B (Autogr.), Kl.A.?Dresden [1798]
Six Duos faciles G, a, D, g, B, d für 2 V., Lpz. [o.?J.]
Sentiménts paternélles Es-Dur für Bläser, D-B (Autogr.)
2 Quartettsätze C-Dur für Cemb., Fl., Va. und Vc., ebd. (dass.)
2 Quartettsätze B-Dur für 2 V., Va. und Vc., ebd. (dass.)
Qu. Es-Dur für Kl., V., Va. und Bass, D-B (Autogr., Bass fehlt)
6 Divertimenti B, F, g, Es, F, C für 2 V. und Va., D-LEm, 2 in I-Pca
5 kurze Stücke A, D, A, e, a für 2 V. und Bass, D-Dl (Autogr.)
6 Son. F, D, a, G, B, C für V. und Cemb., B-Bc, D-NEhz (nur Nr.?2, Cemb. fehlt), I-Vc
Duetto für 2 V., I-Pca (Autogr.)
Duo G-Dur für V./Fl. und Cemb., D-Dl (Autogr.)
Duo D-Dur für V. und Cemb., ebd. (dass.)
Duett B-Dur für Ob. und Fg., ebd. (dass.)
Duo für Lt. und Glasharmonika, D-B (Bearb. der Tenorarie des Ataliba aus: Cora och Alonzo, 3. Akt)

Stück C-Dur, in: Slg. vermischter Clavierstücke von verschiedenen Tonkünstlern, 2. Bd., Nbg. 1782
6 Son. A, d, B, Es, g, E für Glasharmonika/Kl., Bd.?1, Dresden [1785]
dass. B, g, D, F, G, a, Bd.?2, ebd. [1790]; als op.?4, Bln./Adm. [1797/98]
Polonoise, in: Allg. mus. Bibliothek für das Klavier und die Singkunst, Wien 1794 (identisch mit: Neue Slg. vorzüglicher und beliebter Arien und Lieder, Wien 1800)
Sonatine, in: Pianoforte-Schule, hrsg. von P.?J.?Milchmeyer, Dresden 1798
4 Son. F, c, F, B, D-B (Nr.?4), D-Dl
3 Sonatinen C, G, D (Fragm.), D-Dl (zweifelhaft)

Skalen mit unterlegtem Baß zur Uebung der St. für angehende und geübtere Sänger, Lpz. [um 1805]
Übungen, korrigiert von G.?Tartini, GB-Lbl (Autogr.)";;;MGG
NAZARI [NAZZARI], Antonio ;1720ca.-post 1787;Italy;Venezia. Insegnante e primo violino nell'orchestra della cappella marciana ;;;;;"""Il signor Nazari è senza dubbio un esecutore assai preciso e gradevole, ha un suono uguale, dolce e pieno, suona con grande facilità ed espressione"", cfr. Burney, Viaggio musicale in Italia, p. 150";X;;EIT;;;;;;;DUM;;;"F.CAFFI, Storia della musica sacra nella già Cappella Ducale di S.Marco in Venezia dal 1318 al 1797, 2 voll., Venezia 1854/1855, vol II, p.70; DOUNIAS, 1935; CAPRI, 1945, p. 389";;;;"3 Sonate a violino e basso
2 Concerti";;RISM;
NICOLAI, Giovanni Francesco;;Prag (Boemia);;;;;;;;;;;;;;;;;;;"DOUNIAS, 1935; CAPRI, 1945, p. 389. ";Possiede il manoscritto Regole per arrivare a saper ben suonare il violino;;;;;;
OBERMAYER, Joseph;1749-post 1816;Nezabudicz, Boemia;Praga;;allievo di Kammel. Mandato a studiare da T. dal Graf Vinzenz Waldstein;;;;X;;EIT;;;;;FET;;;;;"[TAMARO-WIESELBERGER, 1896, p. 83]; DOUNIAS, 1935; CAPRI, 1945, p. 389. ";Secondo FETIS e EITNER è allievo di Tartini;;;"Sextet Vl (2), Vla (2), Vlc (2) ""Der Rose Sendung""";;RISM;
PAGANELLI, Giuseppe Antonio;1710-1763;Padova (Italy);"Augsburg; Monaco; Rheinsberg; Braunschweig; Bayreuth; Venezia; Madrid";;Carlo Ambrogio Spinola;;;;X;;EIT;RIE;MGG;;;;DIC;DUM;DEU;DBI;"DOUNIAS, 1935; CAPRI, 1945, p. 389. ";"""Tebaldini S. 137 glaubt, dass er ein Schuler Tartini's war, doch kann er dies durch nichts beweisen, als durch ein Violinkonzert, welches sich in Padua befindet"" (Eitner). Moser dubita che sia stato allievo di Tartini, a differenza di Capri. ""Reports that he studied with Tartini remain to be confirmed."" cfr. GMO (Michael Talbot). ""Ob er bei G.?Tartini Unterricht erhielt, läßt sich nicht nachweisen."" MGG Online";"Six sonates de chambre pour deux violons, ou flûtes avec la basse ... œuvre 7|e. [Paris, Le Clerc, aux adresses ordinaires]
Deuxième livre de six sonates à deux violons ou deux flûtes ... œuvre V|e. [Paris, Le Clerc (rue S|t Honoré), aux adresses ordinaires]
Trio: Flautto Traversiere, Violino Concertato e Violoncello
Ex G Dur Sonata a 3, Flauto Traverso, Violino con Violoncello
Ex E Mol Sonata a 3, Flauto Traverso, Violino con Violoncello 
Ex C Dur Sonata a 3, Flauto Traverso Violino con Violoncello 
Ex A Mol  Sonata a 3, Due Flauti Traversiere con Cimbalo Violonc 
Sonata a 3, Flauto Traverso, Violino con Violoncello 
Trio: Flautto Traversiere Primo, Flauto Traversiere ò Violino Secondo e Basso 
Trio: Flauto Traversiere, Violino Concertato e Violoncello
3 Sonate in: Trio, Flautto Traversiere Primo, Flautto Traversiere; ò Violino Secondo  e Basso
 3 Sonate in: Trio Del Signor Paganelli
N. 40. Suonata. A due Flauti Traversieri, e Basso. Del Sig.|r|e Giuseppe Paganelli. Cembalo. | [incipit: fl 1] A Francesco Giacomo Ahorner.
";;Six sonates d'un goût agréable et chantant en duo pour les flûtes, violons, hautbois, pardessus de viole etc. ... dernier œuvre. [Paris, Leloup (gravées par Mlle Petitot)];;RISM;
"""paggio di sua eccellenza ambasciator di Spagna""";;;;1739;;"""Molto reverendo padre padrone colendissimo, conforme alla promessa fatta in altra mia, do avviso a vostra riverenza, come il paggio di sua eccellenza ambasciator di Spagna è ritornato qui a prender da me lezione per il violino, onde son presentemente, e sarò sino a luglio con sei scolari. Quanto scrissi allora a vostra riverenza, tanto confermo presentemente, cioè che ogni uno di più delli sei è di pregiudizio a sè, a me, e agli altri, e che mi riesce impossibile l’attendergli come devo, perché il tempo non mi basta.""";;;;p. 134;;;;;;;;;;;TARTINI, Epistolario;;;;;;;
PAGIN, André Noel;"1721-post 1785 [DEUMM]; 1719/20-post 1785 [MGG]; 1723-1799 [NGD]";Paris (France);Parigi;"anni 30; prima del 1748. Verosimilmente 1739/1740";;"T. a Pagin: ""Signor Pietro mio signore amatissimo e stimatissimo, essendo io stato onorato dalla visita di cotesti due signori di Norimberga, da quali le sarà presentata questa mia aperta; ed avendo saputo da’ medesimi che il loro viaggio li portarà in Parigi a suo tempo, non ho voluto perder la occasione di confermarle con questa mia la continuazione di quell’amicizia che mi tien sempre più legato verso la di lei degnissima persona, e dimostrarmi grato dell’onore ricevuto da cotesti due signori co’l fargli conoscere in lei uno, anzi in principale di quelli che io ho avuto la sorte d’istruire nel violino, sì per il merito della professione, sì per tante adorabili qualità, delle quali ella è pieno. Essendo ella appresso un tanto prencipe, a di cui piedi m’inchino profondamente, se in qualche cosa può giovare a cotesti due signori, i quali vengono certamente costì per conoscer cotesto gran mondo, lo faccia con la solita sua bontà, e per la nostra cordiale amicizia, mentre unito a mia moglie rassegnando ad ella, e a madama sua degnissima consorte i nostri cordialissimi rispetti mi confermo sempre più [...] / T. a Pagin: ""... avendo saputo da medesimi [i due Signori di Norimberga], che il loro viaggio li portarà in Parigi a suo tempo, non ho voluto perder la occasione di confermarle con questa mia la continuazione di quell'amicizia che mi tiene sempre più legato verso la di lei degn (ma) Persona, e di mostrarmi grato all'onore ricevuto da cotesti due Signori co'l fargli conoscere in lei uno, anzi il principale di quelli che ho avuto la sorte d'istruire nel Violino, sì per il merito della Professione: sì per tante adorabili qualità, delle quali ella è piena...""";;"Il signor Pagin è stato allievo di Tartini, e qui è considerato il suo miglior apprendista (C. Burney); ""M. Pagin è dotato di grande capacità espressiva e possiede facilità nell'esecuzione di passi difficili, ma [...] il suono risultava debole"", cfr. Burney, Viaggio musicale in Italia, p. 39; ""Pagin e Nardini, considerati i due migliori allievi dell'istriano"", Capri, p. 361";X;p. 291,292;EIT;RIE;;NGD;;FET;DIC;;;;"DOUNIAS, 1935; CAPRI, 1945, p. 389;
[PETROBELLI, 1992, p. 19]; [PETROBELLI 1968, p. 115]; Wilcox, 2011;";;;;6 Sonates à violon seul et basse continue op.?1, P. 1748, auteur;;;MGG
PAGNI;;;;;;;;;;;;;;;;;;;;;"FAYOLLE; STOEVING, Von der Violine, p. 208; The Harmonicon, vol. 5, p. 46; Wasielewski, 1869";;;;;;;
PETIT;"early 18th century; post 1752 [NGD]";France;Parigi;;;;;;;;;;;;GMO;;;;;;"DOUNIAS, 1935; CAPRI, 1945, p. 389; STOEVING, 1906; FETIS, Revue musicale, 1832, p. 106; Pougin, p. 104";;;;;;;
PIANTANIDA, Giovanni Gualberto Maria;1706-1773;Livorno (Italy);St. Petersburg, Hamburg, Holland, London, Paris, Geneva, Bologna;;;;;;X;;;;;;;;;;;;"""Es ist wahrscheinlich, daß er von G.?Tartini wesentliche Anregungen und Hinweise erhalten hat. Joh. J.?Quantz jedenfalls verglich Piantanida mit Tartini. Piantanidas Profil als Komponist ist unklar. Joh. A.?Scheibe bezichtigt ihn, fremde Kompositionen unter seinem Namen"" MGG Online herausgegeben zu haben. L.?Torchi nennt die Triosonaten formal und technisch sehr gewandt, in erster Linie aber effektvoll komponiert.";;;;;;;
PINELLI, Petronio;;Italy;;;;;;;;;;;;;;;;;;;;"""Petronio Pinelli 'virtuoso romano' pubblica una versione nel '47 di quella che poi diverrà nota come l'Arte dell’arco e la attribuisce a Tartini (“con le mutazione del sig. Giuseppe Tartini”). E’ probabile - ma non confermato da alcuna fonte altro che (per deduzione) dalla sua edizione di 12 variazioni sul tema di Corelli - che sia un ex allievo di T."" (Durante, S) ""Nouvelle | étude | pour | le violon | ou | manière de varier et orner une pièce | dans le goût du cantabile italien | par | Mr Petronio Pinelli | virtuoso romano | augmenté d'une gavotte de Corelli, travaillez et | doublez par Mr. Giuseppe Tartini | prix en blanc 4 ll. | ravé par le s.r Hue | a Paris […] avec privilege du Roi"" (frontespizio della stampa dell'edizione Boivin contenente le 17 variazioni che presentano analogie con quelle sicuramente tartiniane)";;;;;;
PITSCHER;;Germany;;;"""Condiscepolo del Naumann a Padova sappiamo che lo accompagnò in un viaggio a Roma e a Napoli"", Capri, p. 389. Arrivò in Italia a spese di Henri de Prusse (cfr. Fetis)";;;;;;;;;;;;;;;;"DOUNIAS, 1935; CAPRI, 1945, p. 389";Eitner dice che fu rifiutato da T. e che quindi studiò con Naumann;;;;;;
POLANI [POLLANI];;Italy;;;;;;"""Pollani, un de bons élèves de Tartini"", FAYOLLE";;;;;;;;;;;;;"FAYOLLE, 1810; POUGIN, 1924; DOUNIAS, 1935; CAPRI, 1945, p. 389";"""Eccellente professore della scuola di Tartini"", cfr. Bertini 1814";;;;;;
